delivery_time,address_clarity,address_length,contact_valid,payment_method,order_value,area_density,accessibility,weather_condition,traffic_level,delivery_failure
evening,clear,10,0,COD,medium,medium,difficult,normal,medium,1
afternoon,unclear,28,0,COD,high,high,difficult,extreme,medium,1
afternoon,clear,11,1,prepaid,high,medium,difficult,extreme,medium,1
morning,unclear,62,1,COD,medium,medium,easy,extreme,high,1
afternoon,unclear,53,1,prepaid,low,low,difficult,rain,medium,0
morning,unclear,99,0,prepaid,high,high,difficult,rain,high,1
afternoon,clear,41,0,prepaid,high,low,difficult,normal,low,0
evening,clear,79,0,COD,high,low,easy,extreme,low,1
afternoon,unclear,41,1,COD,high,high,easy,extreme,low,1
afternoon,unclear,77,0,prepaid,medium,medium,easy,normal,high,1
evening,clear,64,0,prepaid,low,high,difficult,rain,low,0
afternoon,clear,84,0,prepaid,high,low,easy,rain,medium,0
evening,unclear,65,0,prepaid,medium,high,easy,rain,low,0
evening,unclear,26,0,COD,high,medium,difficult,extreme,high,1
morning,unclear,47,1,prepaid,low,medium,easy,normal,low,0
morning,clear,33,1,prepaid,low,medium,difficult,rain,medium,0
evening,clear,78,1,prepaid,high,high,easy,extreme,low,1
morning,unclear,79,1,COD,high,medium,difficult,extreme,low,1
morning,unclear,95,0,prepaid,high,low,difficult,rain,high,1
afternoon,clear,20,0,COD,high,medium,difficult,normal,high,1
evening,clear,25,0,COD,medium,low,difficult,normal,high,1
evening,unclear,82,0,prepaid,low,medium,easy,extreme,medium,1
morning,unclear,68,1,COD,medium,medium,easy,extreme,low,1
morning,unclear,79,1,COD,high,high,easy,rain,low,1
morning,clear,89,1,prepaid,medium,medium,difficult,rain,low,0
evening,clear,12,1,COD,low,low,difficult,extreme,low,0
morning,clear,29,0,prepaid,medium,low,difficult,extreme,medium,0
morning,unclear,68,1,COD,medium,high,easy,normal,high,0
morning,clear,45,0,COD,low,low,easy,rain,high,0
morning,clear,28,0,prepaid,medium,high,easy,normal,low,0
afternoon,clear,99,1,prepaid,low,medium,easy,extreme,high,1
afternoon,unclear,76,0,COD,high,low,difficult,extreme,medium,1
afternoon,unclear,28,1,prepaid,medium,high,difficult,rain,low,0
afternoon,clear,29,0,prepaid,high,high,difficult,normal,high,1
afternoon,clear,80,1,COD,medium,high,difficult,extreme,low,0
afternoon,clear,61,0,COD,medium,medium,easy,normal,low,0
evening,clear,42,1,COD,medium,medium,easy,normal,low,0
morning,unclear,49,0,COD,medium,high,difficult,rain,medium,1
evening,unclear,48,1,prepaid,medium,low,difficult,rain,low,0
evening,unclear,91,1,COD,medium,medium,difficult,normal,high,0
evening,clear,10,0,prepaid,high,low,difficult,rain,low,1
morning,unclear,20,0,prepaid,high,low,difficult,rain,medium,0
evening,unclear,66,1,COD,high,medium,easy,normal,high,1
morning,clear,98,0,COD,high,high,easy,rain,low,0
morning,clear,59,0,COD,low,low,difficult,rain,low,0
evening,unclear,32,1,COD,low,low,difficult,normal,low,1
afternoon,unclear,40,0,prepaid,low,high,easy,extreme,low,1
evening,unclear,51,1,prepaid,medium,high,difficult,rain,medium,0
evening,clear,16,1,COD,high,low,easy,normal,medium,0
evening,unclear,25,0,COD,high,high,easy,rain,medium,1
afternoon,clear,99,0,COD,low,low,difficult,rain,low,0
evening,unclear,69,0,COD,medium,high,easy,extreme,low,1
evening,unclear,11,0,prepaid,low,low,easy,extreme,medium,1
evening,unclear,10,1,COD,high,low,easy,extreme,high,0
morning,clear,57,1,COD,low,medium,difficult,rain,low,0
afternoon,unclear,21,0,prepaid,high,medium,difficult,normal,high,1
afternoon,clear,78,1,COD,high,high,easy,rain,low,0
evening,clear,46,1,prepaid,medium,high,easy,normal,medium,0
afternoon,clear,41,0,COD,low,medium,difficult,extreme,high,1
morning,clear,18,0,prepaid,high,high,difficult,rain,low,1
afternoon,clear,28,0,COD,high,medium,easy,normal,medium,1
afternoon,clear,57,0,COD,medium,medium,difficult,rain,medium,0
afternoon,unclear,89,0,prepaid,high,low,easy,rain,low,1
morning,unclear,12,1,prepaid,medium,medium,difficult,rain,high,0
morning,unclear,29,1,COD,medium,medium,easy,rain,medium,1
evening,unclear,33,0,prepaid,medium,medium,difficult,rain,low,0
morning,clear,63,0,prepaid,high,high,difficult,rain,high,1
afternoon,unclear,42,0,prepaid,low,medium,easy,extreme,medium,1
morning,unclear,33,1,prepaid,high,low,difficult,extreme,low,1
afternoon,clear,84,0,COD,high,low,difficult,normal,high,1
evening,unclear,81,1,prepaid,low,high,easy,rain,low,0
evening,clear,45,1,prepaid,medium,medium,easy,rain,low,0
afternoon,unclear,47,0,COD,high,high,difficult,rain,medium,1
morning,unclear,93,1,prepaid,low,medium,difficult,rain,low,1
evening,clear,98,0,prepaid,high,high,easy,extreme,low,1
evening,clear,34,1,prepaid,medium,high,difficult,extreme,low,1
evening,unclear,27,1,COD,high,low,easy,rain,high,1
morning,clear,91,0,prepaid,high,high,easy,extreme,low,1
morning,unclear,75,0,prepaid,high,medium,difficult,extreme,medium,1
evening,clear,63,1,prepaid,medium,low,easy,extreme,high,0
evening,clear,44,0,prepaid,low,high,difficult,normal,low,1
morning,unclear,89,1,COD,high,medium,difficult,normal,medium,0
evening,clear,70,0,prepaid,medium,high,easy,rain,medium,0
afternoon,clear,50,1,COD,low,medium,difficult,rain,high,0
evening,unclear,42,1,COD,low,low,easy,normal,medium,1
morning,unclear,77,0,prepaid,high,low,difficult,extreme,high,1
morning,unclear,42,1,COD,high,medium,easy,rain,low,0
evening,clear,23,1,COD,medium,medium,difficult,normal,medium,0
morning,clear,30,0,prepaid,high,low,difficult,normal,high,1
morning,clear,57,0,prepaid,high,medium,easy,rain,high,1
evening,unclear,29,0,COD,medium,high,difficult,extreme,low,1
morning,clear,17,0,prepaid,low,low,difficult,rain,low,0
afternoon,unclear,16,1,prepaid,low,low,easy,rain,high,0
evening,unclear,76,1,prepaid,medium,low,easy,extreme,low,0
afternoon,unclear,26,0,prepaid,low,medium,easy,rain,medium,1
afternoon,unclear,42,0,prepaid,medium,low,easy,normal,low,0
afternoon,clear,57,0,COD,medium,medium,easy,rain,low,0
morning,unclear,85,0,prepaid,low,low,difficult,rain,low,1
evening,clear,68,0,prepaid,high,medium,easy,rain,high,1
morning,clear,95,0,prepaid,low,high,easy,extreme,high,1
morning,unclear,31,0,prepaid,high,high,difficult,normal,low,1
evening,clear,39,0,prepaid,medium,medium,easy,rain,low,0
evening,clear,47,0,COD,high,low,easy,rain,medium,0
evening,clear,60,1,prepaid,low,high,easy,normal,low,0
afternoon,unclear,63,1,prepaid,low,high,difficult,extreme,low,1
evening,unclear,17,0,prepaid,low,low,easy,extreme,medium,1
morning,clear,36,1,prepaid,low,high,difficult,extreme,high,1
morning,unclear,36,1,COD,medium,low,difficult,rain,high,0
afternoon,clear,30,0,COD,low,medium,easy,normal,low,0
afternoon,unclear,39,1,prepaid,high,medium,easy,extreme,high,1
morning,unclear,37,0,prepaid,low,low,easy,normal,high,1
evening,clear,73,1,prepaid,high,high,easy,normal,low,0
morning,unclear,78,0,prepaid,high,low,easy,normal,low,0
evening,clear,70,0,prepaid,medium,low,difficult,normal,medium,1
afternoon,clear,57,0,prepaid,medium,medium,easy,rain,high,0
evening,clear,28,1,prepaid,high,medium,easy,rain,high,1
morning,unclear,13,0,COD,low,low,easy,normal,low,1
afternoon,unclear,44,1,COD,low,high,difficult,normal,medium,1
evening,unclear,73,1,COD,high,medium,easy,extreme,high,0
morning,clear,58,0,prepaid,low,medium,difficult,rain,medium,1
afternoon,clear,26,1,COD,medium,low,difficult,extreme,high,1
afternoon,unclear,53,0,COD,low,high,difficult,normal,low,1
evening,clear,39,1,COD,high,medium,difficult,normal,low,0
morning,unclear,55,1,COD,low,low,difficult,normal,low,0
evening,unclear,15,1,prepaid,high,high,easy,extreme,low,1
afternoon,clear,46,0,prepaid,high,high,easy,rain,medium,0
afternoon,unclear,33,1,prepaid,medium,high,easy,normal,low,0
evening,clear,55,0,COD,low,medium,difficult,rain,medium,1
afternoon,clear,62,1,prepaid,medium,medium,easy,normal,low,0
afternoon,clear,69,0,prepaid,low,high,easy,rain,medium,0
evening,unclear,72,1,COD,low,medium,difficult,extreme,high,1
morning,unclear,94,0,COD,low,high,easy,normal,low,1
afternoon,unclear,41,0,prepaid,low,high,easy,normal,high,1
morning,clear,96,1,COD,low,medium,easy,normal,high,0
evening,unclear,42,1,COD,medium,low,difficult,normal,medium,1
morning,unclear,76,1,prepaid,low,high,easy,extreme,medium,1
evening,unclear,27,0,COD,medium,medium,easy,rain,low,1
evening,clear,34,0,prepaid,high,medium,difficult,extreme,medium,1
evening,unclear,63,1,prepaid,low,high,difficult,extreme,low,1
afternoon,clear,67,1,prepaid,high,high,easy,normal,low,0
afternoon,clear,76,0,prepaid,medium,high,easy,normal,high,1
evening,unclear,55,0,prepaid,high,low,easy,extreme,low,1
afternoon,unclear,33,0,prepaid,low,high,easy,normal,high,1
evening,unclear,41,0,prepaid,high,high,easy,rain,high,1
afternoon,clear,56,0,COD,high,low,easy,normal,high,0
morning,unclear,95,1,COD,medium,medium,difficult,normal,low,0
afternoon,unclear,32,1,COD,high,low,difficult,normal,high,1
morning,unclear,75,1,prepaid,low,high,easy,extreme,high,1
evening,clear,36,0,prepaid,high,high,easy,rain,low,1
morning,clear,11,1,prepaid,low,low,easy,extreme,high,0
afternoon,unclear,99,0,prepaid,low,high,easy,rain,medium,0
evening,clear,26,0,prepaid,medium,low,difficult,normal,medium,1
afternoon,unclear,42,1,COD,medium,low,easy,normal,medium,1
morning,unclear,18,0,prepaid,medium,high,easy,rain,low,0
morning,clear,52,0,prepaid,high,low,difficult,extreme,low,1
evening,clear,57,1,COD,low,high,difficult,normal,low,0
evening,unclear,48,1,prepaid,low,high,easy,rain,high,0
afternoon,clear,51,0,prepaid,low,medium,easy,rain,high,0
afternoon,clear,35,0,COD,low,high,difficult,normal,medium,0
afternoon,unclear,59,1,prepaid,high,medium,easy,extreme,high,1
afternoon,unclear,34,1,COD,medium,high,difficult,rain,medium,1
afternoon,clear,33,0,COD,low,low,difficult,extreme,medium,0
evening,clear,22,0,prepaid,high,medium,difficult,extreme,low,1
morning,unclear,69,0,COD,low,medium,easy,normal,low,0
morning,clear,16,1,COD,high,medium,easy,extreme,low,0
afternoon,unclear,66,0,COD,medium,low,difficult,extreme,medium,1
evening,unclear,45,0,prepaid,low,medium,easy,normal,high,1
morning,clear,54,0,prepaid,high,medium,difficult,rain,medium,0
evening,unclear,29,0,COD,medium,medium,easy,extreme,high,1
afternoon,clear,74,1,prepaid,high,high,easy,extreme,medium,0
afternoon,clear,17,1,prepaid,medium,medium,difficult,extreme,high,1
morning,clear,25,1,prepaid,medium,medium,difficult,extreme,high,1
afternoon,clear,23,1,prepaid,high,medium,easy,extreme,low,1
evening,unclear,85,0,COD,low,high,easy,normal,low,1
morning,unclear,96,0,prepaid,medium,medium,difficult,extreme,low,1
morning,unclear,24,1,prepaid,low,medium,difficult,rain,low,0
afternoon,clear,75,1,COD,medium,high,easy,extreme,low,0
evening,clear,41,0,prepaid,high,medium,easy,extreme,low,1
morning,clear,96,0,COD,medium,low,difficult,extreme,high,1
afternoon,unclear,72,1,prepaid,medium,high,difficult,rain,high,0
evening,unclear,95,0,COD,high,low,difficult,extreme,high,1
afternoon,unclear,60,0,prepaid,low,medium,difficult,extreme,medium,1
afternoon,unclear,34,0,COD,high,high,easy,extreme,medium,1
evening,clear,67,0,prepaid,medium,medium,difficult,rain,medium,0
evening,clear,72,1,COD,high,low,difficult,extreme,medium,1
morning,clear,71,1,COD,medium,high,difficult,extreme,high,0
morning,unclear,31,0,COD,medium,high,difficult,rain,medium,1
evening,unclear,67,1,COD,medium,high,easy,rain,low,0
evening,unclear,67,1,prepaid,low,high,easy,normal,medium,0
evening,unclear,95,0,prepaid,high,high,easy,rain,medium,1
morning,unclear,58,0,COD,medium,medium,easy,normal,high,0
afternoon,clear,61,0,prepaid,high,medium,difficult,rain,medium,1
morning,clear,51,1,COD,medium,low,easy,normal,high,1
evening,clear,79,0,prepaid,medium,high,easy,rain,high,0
morning,clear,24,0,prepaid,medium,medium,difficult,rain,high,0
afternoon,unclear,63,1,COD,low,medium,easy,normal,low,0
morning,clear,69,0,COD,low,medium,easy,rain,high,1
evening,clear,17,0,COD,high,high,easy,extreme,low,1
afternoon,clear,62,1,prepaid,high,high,easy,extreme,high,0
afternoon,unclear,69,0,prepaid,high,low,easy,rain,low,1
evening,clear,14,1,COD,low,medium,easy,extreme,low,0
evening,clear,77,1,prepaid,medium,high,easy,extreme,medium,0
evening,unclear,15,1,COD,low,high,easy,normal,high,0
morning,clear,56,0,COD,medium,low,easy,rain,medium,1
morning,clear,64,0,COD,medium,medium,difficult,rain,high,1
morning,clear,49,0,COD,medium,medium,difficult,extreme,medium,1
morning,unclear,61,1,COD,low,medium,difficult,rain,medium,0
evening,unclear,25,1,COD,low,high,easy,normal,low,0
evening,unclear,22,1,COD,high,medium,difficult,extreme,low,1
evening,clear,39,1,prepaid,low,medium,difficult,normal,low,1
afternoon,clear,28,0,prepaid,high,low,easy,rain,high,0
afternoon,unclear,26,1,COD,high,low,easy,normal,high,0
evening,unclear,72,1,COD,low,medium,difficult,normal,medium,0
morning,clear,28,1,prepaid,low,high,difficult,rain,high,0
afternoon,unclear,67,1,COD,medium,low,easy,normal,medium,0
evening,clear,64,0,prepaid,high,low,easy,extreme,high,1
afternoon,unclear,99,0,COD,medium,medium,difficult,extreme,high,1
afternoon,clear,99,0,COD,low,medium,difficult,extreme,medium,1
afternoon,clear,71,0,COD,medium,high,difficult,normal,medium,0
morning,clear,32,1,COD,medium,high,difficult,normal,medium,1
evening,clear,18,1,prepaid,high,low,easy,rain,low,0
morning,unclear,21,1,COD,high,low,easy,extreme,low,1
evening,unclear,10,1,prepaid,high,low,easy,rain,medium,0
afternoon,unclear,67,0,COD,medium,low,difficult,extreme,high,1
evening,clear,10,0,COD,high,low,difficult,extreme,medium,1
morning,clear,43,1,COD,medium,low,difficult,extreme,high,0
evening,unclear,57,1,prepaid,low,low,easy,normal,medium,1
evening,clear,98,0,prepaid,low,medium,difficult,normal,low,0
afternoon,clear,10,0,prepaid,medium,high,easy,extreme,high,1
morning,unclear,25,0,prepaid,medium,medium,difficult,extreme,low,1
afternoon,clear,70,1,COD,high,low,difficult,extreme,high,1
morning,clear,73,1,prepaid,low,low,easy,normal,low,0
morning,unclear,72,0,prepaid,medium,low,difficult,normal,low,1
afternoon,clear,78,1,prepaid,high,high,easy,normal,medium,0
evening,unclear,31,1,prepaid,low,low,difficult,extreme,low,0
evening,clear,76,0,prepaid,high,low,difficult,normal,medium,1
morning,unclear,85,1,prepaid,medium,high,difficult,extreme,high,1
evening,unclear,35,1,COD,high,low,easy,normal,high,0
